BattSchedule_MW,SOC_percent,EnergyPriceDA_AUDperMWh,EnergyProfit_AUD,L1SCapacity,L1SPrice_AUDperMW,L1SRev_AUD,R6SCapacity,R6SPrice_AUDperMW,R6SRev_AUD,R1SCapacity,R1SPrice_AUDperMW,R1SRev_AUD,R60SCapacity,R60SPrice_AUDperMW,R60SRev_AUD,L60SCapacity,L60SPrice_AUDperMW,L60SRev_AUD,RREGCapacity,RREGPrice_AUDperMW,RREGRev_AUD,LREGCapacity,LREGPrice_AUDperMW,LREGRev_AUD,R5MCapacity,R5MPrice_AUDperMW,R5MRev_AUD,L6SCapacity,L6SPrice_AUDperMW,L6SRev_AUD,CapacityObligation
-0.08,0.10,-35.66,2.98,0.00,0.00,0.00,0.35,0.38,0.12,0.00,0.00,0.00,0.00,0.34,0.00,0.42,2.74,1.14,0.50,6.58,3.03,0.50,5.30,2.65,0.15,0.37,0.05,0.00,0.42,0.00,0.00
-0.90,0.14,-55.17,49.43,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.10,3.55,0.37,0.50,8.84,4.07,0.00,4.72,0.00,0.00,0.33,0.00,0.00,0.36,0.00,0.00
-1.00,0.55,-59.30,59.30,0.00,0.00,0.00,0.50,0.39,0.18,0.00,0.00,0.00,-0.00,0.36,-0.00,0.00,5.57,0.00,0.50,7.68,3.54,-0.00,6.14,-0.00,0.00,0.36,0.00,0.00,0.44,0.00,0.00
-0.03,1.00,-24.86,0.79,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,-0.00,0.37,-0.00,0.47,2.58,1.21,0.50,8.55,3.94,0.50,4.91,2.45,0.50,0.37,0.17,0.00,0.42,0.00,0.00
0.00,1.00,30.04,0.00,0.00,0.00,0.00,0.31,0.37,0.11,0.00,0.00,0.00,0.00,0.29,0.00,0.50,1.56,0.78,0.50,12.30,5.67,0.50,3.32,1.66,0.19,0.29,0.05,-0.00,0.21,-0.00,0.00
0.00,1.00,35.01,0.00,0.00,0.00,0.00,0.07,0.38,0.03,0.00,0.00,0.00,0.43,0.37,0.15,0.50,1.77,0.88,0.50,6.39,2.95,0.50,3.13,1.57,0.00,0.34,0.00,-0.00,0.23,-0.00,0.00
0.00,1.00,38.42,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.00,0.00,0.00,-0.00,0.41,-0.00,0.50,0.79,0.39,0.50,10.93,5.04,0.50,3.77,1.88,0.50,0.39,0.18,-0.00,0.09,-0.00,0.00
0.00,0.99,35.60,0.00,0.00,0.00,0.00,0.00,0.41,0.00,0.00,0.00,0.00,0.50,0.48,0.22,0.50,0.62,0.31,0.50,9.19,4.24,0.50,5.03,2.51,-0.00,0.39,-0.00,-0.00,0.29,-0.00,0.00
-0.03,0.98,30.12,-0.91,0.00,0.00,0.00,0.19,0.40,0.07,0.00,0.00,0.00,0.31,0.41,0.12,0.47,0.39,0.18,0.50,5.50,2.53,0.50,3.72,1.86,0.00,0.38,0.00,0.00,0.20,0.00,0.00
0.00,1.00,35.85,0.00,0.00,0.00,0.00,0.31,0.42,0.12,0.00,0.00,0.00,0.00,0.39,0.00,0.50,0.39,0.20,0.50,3.58,1.65,0.50,3.77,1.88,0.19,0.38,0.07,0.00,0.14,0.00,0.00
0.00,1.00,72.31,0.00,0.00,0.00,0.00,0.00,0.66,0.00,0.00,0.00,0.00,-0.00,0.58,-0.00,0.00,0.35,0.00,0.50,3.74,1.72,0.50,2.74,1.37,0.50,0.39,0.18,0.00,0.06,0.00,0.00
0.00,0.97,74.98,0.00,0.00,0.00,0.00,0.00,0.63,0.00,0.00,0.00,0.00,-0.00,0.45,-0.00,0.00,0.13,0.00,0.50,3.94,1.82,0.50,1.65,0.82,0.50,0.38,0.18,0.00,0.01,0.00,0.00
0.00,0.95,59.47,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,-0.00,0.39,-0.00,0.00,0.30,0.00,0.50,4.91,2.26,0.50,2.10,1.05,0.50,0.38,0.18,0.00,0.04,0.00,0.00
0.00,0.92,60.08,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,-0.00,0.39,-0.00,0.00,0.34,0.00,0.50,5.41,2.49,0.50,1.95,0.97,0.50,0.38,0.18,0.00,0.07,0.00,0.00
0.00,0.90,94.27,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,-0.00,0.39,-0.00,0.00,0.14,0.00,0.50,4.01,1.85,0.00,0.91,0.00,0.50,0.38,0.18,0.00,0.01,0.00,0.00
0.00,0.87,85.01,0.00,0.00,0.00,0.00,0.00,0.41,0.00,0.00,0.00,0.00,-0.00,0.39,-0.00,0.00,0.39,0.00,0.50,5.89,2.72,0.50,2.44,1.22,0.50,0.35,0.16,0.00,0.32,0.00,0.00
0.00,0.84,66.52,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,-0.00,0.39,-0.00,0.00,0.41,0.00,0.50,10.62,4.89,0.50,2.00,1.00,0.50,0.36,0.17,0.50,0.41,0.20,0.00
0.00,0.82,59.09,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,-0.00,0.39,-0.00,0.00,0.42,0.00,0.50,6.69,3.08,0.50,2.16,1.08,0.50,0.38,0.18,0.50,0.39,0.19,0.00
0.00,0.79,59.47,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,-0.00,0.39,-0.00,0.00,0.49,0.00,0.50,7.04,3.25,0.50,2.46,1.23,0.50,0.38,0.18,0.50,0.39,0.19,0.00
0.00,0.77,64.49,0.00,0.00,0.00,0.00,0.00,0.41,0.00,0.00,0.00,0.00,-0.00,0.39,-0.00,0.50,1.82,0.91,0.50,6.21,2.86,0.50,3.08,1.54,0.50,0.38,0.18,-0.00,0.42,-0.00,0.00
0.00,0.76,95.38,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,-0.00,0.38,-0.00,0.00,0.32,0.00,0.50,3.73,1.72,0.50,2.79,1.40,0.50,0.38,0.18,0.00,0.10,0.00,0.00
0.00,0.73,83.28,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,-0.00,0.36,-0.00,0.00,0.34,0.00,0.50,4.55,2.10,0.50,2.99,1.49,0.50,0.30,0.14,0.00,0.17,0.00,0.00
0.00,0.71,89.50,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.00,0.00,0.00,-0.00,0.25,-0.00,0.00,0.89,0.00,0.50,4.22,1.95,0.50,6.39,3.19,0.50,0.27,0.12,0.00,0.25,0.00,0.00
0.00,0.68,92.84,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.00,0.00,0.00,-0.00,0.25,-0.00,0.00,1.39,0.00,0.50,3.55,1.64,0.50,2.88,1.44,0.50,0.26,0.12,0.00,0.30,0.00,0.00
0.65,0.66,110.27,66.03,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.46,0.00,0.00,0.46,0.00,0.35,7.69,2.48,0.50,3.53,1.77,0.00,0.25,0.00,0.00,0.22,0.00,0.00
0.00,0.33,94.19,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.00,0.36,0.00,0.50,9.69,4.47,0.50,2.16,1.08,0.50,0.27,0.12,0.49,0.23,0.11,0.00
0.00,0.31,44.95,0.00,0.00,0.00,0.00,0.50,0.13,0.06,0.00,0.00,0.00,-0.00,0.33,-0.00,0.50,2.26,1.13,0.50,9.07,4.18,0.50,3.23,1.61,0.00,0.29,0.00,-0.00,0.34,-0.00,0.00
-1.00,0.32,35.21,-35.21,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.00,2.38,0.00,0.50,9.52,4.39,-0.00,3.90,-0.00,0.00,0.32,0.00,0.00,0.36,0.00,0.00
-0.50,0.77,41.21,-20.60,0.00,0.00,0.00,0.50,0.35,0.16,0.00,0.00,0.00,0.00,0.38,0.00,0.00,1.30,0.00,0.50,10.38,4.78,0.50,3.49,1.75,0.00,0.34,0.00,0.00,0.26,0.00,0.00
0.00,1.00,60.12,0.00,0.00,0.00,0.00,0.07,0.38,0.03,0.00,0.00,0.00,0.43,0.35,0.14,0.50,1.94,0.97,0.50,16.12,7.43,0.50,2.94,1.47,0.00,0.31,0.00,-0.00,0.33,-0.00,0.00
0.00,1.00,72.18,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,-0.00,0.38,-0.00,0.00,0.78,0.00,0.50,15.64,7.21,0.50,2.17,1.08,0.50,0.36,0.17,0.50,0.22,0.11,0.00
0.00,0.98,78.75,0.00,0.00,0.00,0.00,0.00,0.61,0.00,0.00,0.00,0.00,-0.00,0.58,-0.00,0.00,0.72,0.00,0.50,6.99,3.22,0.50,2.59,1.29,0.50,0.37,0.17,0.00,0.12,0.00,0.00
0.00,0.95,74.05,0.00,0.00,0.00,0.00,0.00,0.49,0.00,0.00,0.00,0.00,-0.00,0.43,-0.00,0.00,0.27,0.00,0.50,3.63,1.67,0.50,2.24,1.12,0.50,0.37,0.17,0.00,0.03,0.00,0.00
0.64,0.93,113.15,66.62,0.00,0.00,0.00,0.00,4.51,0.00,0.00,0.00,0.00,0.00,1.08,0.00,0.00,0.02,0.00,0.00,3.44,0.00,0.50,1.75,0.87,0.36,0.60,0.20,0.00,0.00,0.00,0.00
1.00,0.59,124.09,114.40,0.00,0.00,0.00,0.00,2.82,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.02,0.00,0.00,3.14,0.00,0.50,2.22,1.11,-0.00,0.56,-0.00,0.00,0.01,0.00,0.00
0.00,0.10,91.38,0.00,0.00,0.00,0.00,0.50,0.45,0.21,0.00,0.00,0.00,0.00,0.38,0.00,0.13,0.09,0.01,0.50,4.30,1.98,0.50,3.18,1.59,0.00,0.38,0.00,0.00,0.01,0.00,0.00
0.00,0.10,74.05,0.00,0.00,0.00,0.00,0.50,0.39,0.18,0.00,0.00,0.00,0.00,0.38,0.00,0.13,0.09,0.01,0.50,5.52,2.54,0.50,1.78,0.89,0.00,0.38,0.00,0.00,0.01,0.00,0.00
0.00,0.10,61.79,0.00,0.00,0.00,0.00,0.50,0.38,0.18,0.00,0.00,0.00,0.00,0.36,0.00,0.13,0.15,0.02,0.50,4.71,2.17,0.50,2.56,1.28,0.00,0.39,0.00,0.00,0.02,0.00,0.00
0.00,0.10,68.91,0.00,0.00,0.00,0.00,0.50,0.39,0.18,0.00,0.00,0.00,0.00,0.42,0.00,0.04,0.18,0.01,0.50,4.79,2.21,0.50,1.12,0.56,0.00,0.39,0.00,0.46,0.06,0.03,0.00
0.00,0.10,52.83,0.00,0.00,0.00,0.00,0.50,0.39,0.18,0.00,0.00,0.00,-0.00,0.39,-0.00,0.04,0.55,0.02,0.50,8.85,4.08,0.50,3.20,1.60,0.00,0.39,0.00,0.46,0.43,0.20,0.00
0.00,0.10,50.33,0.00,0.00,0.00,0.00,0.31,0.43,0.12,0.00,0.00,0.00,0.00,0.40,0.00,0.50,1.77,0.88,0.50,12.53,5.77,0.50,3.25,1.63,0.19,0.39,0.07,-0.00,0.47,-0.00,0.00
0.00,0.10,46.66,0.00,0.00,0.00,0.00,0.07,0.42,0.03,0.00,0.00,0.00,0.43,0.44,0.17,0.50,1.01,0.51,0.50,7.12,3.28,0.50,3.45,1.73,0.00,0.39,0.00,-0.00,0.42,-0.00,0.00
0.00,0.10,47.71,0.00,0.00,0.00,0.00,0.07,0.45,0.03,0.00,0.00,0.00,0.43,0.44,0.17,0.50,0.79,0.40,0.50,5.77,2.66,0.50,3.62,1.81,0.00,0.39,0.00,-0.00,0.41,-0.00,0.00
0.00,0.10,49.29,0.00,0.00,0.00,0.00,0.07,0.51,0.03,0.00,0.00,0.00,0.43,0.58,0.23,0.50,0.77,0.38,0.50,5.21,2.40,0.50,3.11,1.55,0.00,0.45,0.00,-0.00,0.39,-0.00,0.00
0.00,0.10,53.56,0.00,0.00,0.00,0.00,0.50,0.41,0.19,0.00,0.00,0.00,0.00,0.45,0.00,0.04,0.41,0.01,0.50,5.01,2.31,0.50,2.61,1.30,0.00,0.42,0.00,0.46,0.30,0.14,0.00
0.00,0.10,30.00,0.00,0.00,0.00,0.00,0.31,0.39,0.11,0.00,0.00,0.00,0.00,0.40,0.00,0.50,0.75,0.38,0.50,5.03,2.32,0.50,1.58,0.79,0.19,0.42,0.07,-0.00,0.24,-0.00,0.00
0.00,0.10,35.13,0.00,0.00,0.00,0.00,0.31,0.39,0.11,0.00,0.00,0.00,0.00,0.39,0.00,0.50,0.77,0.38,0.50,3.45,1.59,0.50,2.40,1.20,0.19,0.39,0.07,-0.00,0.27,-0.00,0.00
0.00,0.10,40.32,0.00,0.00,0.00,0.00,0.31,0.38,0.11,0.00,0.00,0.00,0.00,0.34,0.00,0.50,1.21,0.60,0.50,5.38,2.48,0.50,2.11,1.05,0.19,0.40,0.07,-0.00,0.27,-0.00,0.00
0.00,0.10,27.52,0.00,0.00,0.00,0.00,0.07,0.39,0.03,0.00,0.00,0.00,0.43,0.40,0.16,0.50,4.15,2.07,0.50,3.76,1.73,0.50,2.44,1.22,0.00,0.39,0.00,-0.00,0.42,-0.00,0.00
0.00,0.10,-16.70,-0.00,0.00,0.00,0.00,0.31,0.39,0.11,0.00,0.00,0.00,0.00,0.38,0.00,0.50,8.40,4.20,0.50,6.51,3.00,0.50,4.09,2.04,0.19,0.38,0.07,0.00,0.70,0.00,0.00
0.00,0.10,-11.15,-0.00,0.00,0.00,0.00,0.07,0.39,0.03,0.00,0.00,0.00,0.43,0.38,0.15,0.50,9.08,4.54,0.50,5.64,2.60,0.50,3.45,1.72,0.00,0.37,0.00,-0.00,0.64,-0.00,0.00
-0.62,0.10,-34.33,21.30,0.00,0.00,0.00,0.50,0.38,0.18,0.00,0.00,0.00,0.00,0.38,0.00,0.38,3.30,1.25,0.50,7.33,3.38,0.00,3.25,0.00,0.00,0.35,0.00,0.00,0.54,0.00,0.00
-1.00,0.39,-43.04,43.04,0.00,0.00,0.00,0.50,0.38,0.18,0.00,0.00,0.00,0.00,0.31,0.00,-0.00,2.31,-0.00,0.50,8.80,4.06,0.00,2.44,0.00,0.00,0.34,0.00,0.00,0.38,0.00,0.00
-0.39,0.84,-32.65,12.77,0.00,0.00,0.00,-0.00,0.38,-0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.50,4.00,2.00,0.50,7.31,3.37,0.11,3.33,0.36,0.50,0.32,0.15,0.00,0.45,0.00,0.00
0.00,1.00,-9.39,-0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.00,0.00,0.00,-0.00,0.26,-0.00,0.50,2.68,1.34,0.50,8.66,3.99,0.50,3.33,1.67,0.50,0.32,0.15,-0.00,0.42,-0.00,0.00
-0.06,0.99,-12.33,0.79,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,-0.00,0.38,-0.00,0.44,1.32,0.58,0.50,6.66,3.07,0.50,4.37,2.18,0.50,0.38,0.18,0.00,0.23,0.00,0.00
0.00,1.00,22.19,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,-0.00,0.36,-0.00,0.00,0.19,0.00,0.50,5.21,2.40,0.50,3.06,1.53,0.50,0.38,0.18,0.00,0.03,0.00,0.00
0.00,0.97,58.48,0.00,0.00,0.00,0.00,0.00,0.53,0.00,0.00,0.00,0.00,0.50,0.50,0.23,0.00,0.11,0.00,0.00,1.71,0.00,0.50,2.70,1.35,0.50,0.38,0.17,0.00,0.01,0.00,0.00
1.00,0.94,62.36,57.45,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.07,0.00,0.00,1.82,0.00,0.50,1.87,0.93,0.00,0.39,0.00,0.00,0.01,0.00,0.00
0.00,0.45,56.52,0.00,0.00,0.00,0.00,0.00,0.43,0.00,0.00,0.00,0.00,-0.00,0.43,-0.00,0.00,0.15,0.00,0.50,2.68,1.24,0.50,2.17,1.09,0.50,0.39,0.18,0.00,0.08,0.00,0.00
-0.00,0.42,60.11,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.47,0.00,0.00,0.20,0.00,0.50,3.44,1.58,0.50,2.24,1.12,0.50,0.39,0.18,0.00,0.01,0.00,0.00
-0.00,0.40,60.45,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.23,0.00,0.50,3.38,1.56,0.50,1.52,0.76,0.50,0.38,0.18,0.00,0.01,0.00,0.00
0.01,0.37,60.95,0.65,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.18,0.00,0.49,3.48,1.57,0.50,2.16,1.08,0.50,0.38,0.18,0.00,0.01,0.00,0.00
0.03,0.34,57.52,1.44,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.39,0.00,0.50,3.32,1.53,0.50,4.03,2.02,0.47,0.39,0.17,0.00,0.25,0.00,0.00
0.06,0.30,53.50,2.78,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.41,0.00,0.50,3.45,1.59,0.50,3.76,1.88,0.44,0.39,0.16,0.50,0.39,0.19,0.00
0.00,0.26,41.11,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,-0.00,0.38,-0.00,0.42,0.83,0.34,0.50,7.82,3.60,0.50,3.59,1.79,0.50,0.38,0.18,0.08,0.40,0.03,0.00
0.00,0.24,32.89,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,-0.00,0.39,-0.00,0.50,1.64,0.82,0.50,5.08,2.34,0.50,3.52,1.76,0.50,0.38,0.18,0.00,0.39,0.00,0.00
0.00,0.23,33.75,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.06,0.39,0.02,0.50,0.70,0.35,0.50,7.41,3.42,0.50,3.18,1.59,0.44,0.38,0.16,-0.00,0.39,-0.00,0.00
0.20,0.21,37.07,6.96,0.00,0.00,0.00,0.04,0.39,0.01,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.41,0.00,0.50,4.02,1.85,0.50,2.46,1.23,0.26,0.39,0.09,0.50,0.29,0.15,0.00
